,Percentile,Cutoff,Accuracy,ErrorRate,Precision,Recall,FPR,f1Score
0,0.0,0.0,0.589622641509434,0.41037735849056606,0.58,0.7837837837837838,0.6237623762376238,0.6666666666666666
1,1.0,1.0,0.589622641509434,0.41037735849056606,0.58,0.7837837837837838,0.6237623762376238,0.6666666666666666
2,2.0,2.0,0.589622641509434,0.41037735849056606,0.58,0.7837837837837838,0.6237623762376238,0.6666666666666666
3,3.0,3.0,0.589622641509434,0.41037735849056606,0.58,0.7837837837837838,0.6237623762376238,0.6666666666666666
4,4.0,4.0,0.589622641509434,0.41037735849056606,0.58,0.7837837837837838,0.6237623762376238,0.6666666666666666
5,5.0,5.0,0.5849056603773585,0.41509433962264153,0.5771812080536913,0.7747747747747747,0.6237623762376238,0.6615384615384616
6,6.0,6.0,0.5849056603773585,0.41509433962264153,0.5771812080536913,0.7747747747747747,0.6237623762376238,0.6615384615384616
7,7.0,7.0,0.5754716981132075,0.42452830188679247,0.5714285714285714,0.7567567567567568,0.6237623762376238,0.6511627906976745
8,8.0,8.0,0.5849056603773585,0.41509433962264153,0.5793103448275863,0.7567567567567568,0.6039603960396039,0.6562500000000001
9,9.0,9.0,0.589622641509434,0.41037735849056606,0.5833333333333334,0.7567567567567568,0.594059405940594,0.6588235294117648
10,10.0,10.0,0.5801886792452831,0.419811320754717,0.5785714285714286,0.7297297297297297,0.5841584158415842,0.6454183266932271
11,11.0,11.0,0.5801886792452831,0.419811320754717,0.5785714285714286,0.7297297297297297,0.5841584158415842,0.6454183266932271
12,12.0,12.0,0.5849056603773585,0.41509433962264153,0.583941605839416,0.7207207207207207,0.5643564356435644,0.6451612903225806
13,13.0,13.0,0.5660377358490566,0.4339622641509434,0.5714285714285714,0.6846846846846847,0.5643564356435644,0.6229508196721312
14,14.0,14.0,0.5707547169811321,0.42924528301886794,0.5757575757575758,0.6846846846846847,0.5544554455445545,0.6255144032921811
15,15.0,15.0,0.5707547169811321,0.42924528301886794,0.5769230769230769,0.6756756756756757,0.5445544554455446,0.6224066390041493
16,16.0,16.0,0.5707547169811321,0.42924528301886794,0.578125,0.6666666666666666,0.5346534653465347,0.6192468619246863
17,17.0,17.0,0.5471698113207547,0.4528301886792453,0.5609756097560976,0.6216216216216216,0.5346534653465347,0.5897435897435899
18,18.0,18.0,0.5518867924528302,0.4481132075471698,0.5666666666666667,0.6126126126126126,0.5148514851485149,0.5887445887445887
19,19.0,19.0,0.5566037735849056,0.44339622641509435,0.5726495726495726,0.6036036036036037,0.49504950495049505,0.5877192982456141
20,20.0,20.0,0.5518867924528302,0.4481132075471698,0.5689655172413793,0.5945945945945946,0.49504950495049505,0.5814977973568282
21,21.0,21.0,0.5377358490566038,0.46226415094339623,0.5575221238938053,0.5675675675675675,0.49504950495049505,0.5625
22,22.0,22.0,0.5330188679245284,0.4669811320754717,0.5545454545454546,0.5495495495495496,0.48514851485148514,0.5520361990950227
23,23.0,23.0,0.5283018867924528,0.4716981132075472,0.5514018691588785,0.5315315315315315,0.4752475247524752,0.5412844036697247
24,24.0,24.0,0.5330188679245284,0.4669811320754717,0.5576923076923077,0.5225225225225225,0.4554455445544554,0.5395348837209303
